         x         y         z          analitic          solution          pogreshn
   116.025     82.75     -1000                 0                 0                 0
   152.627     82.75     -1000                 0                 0                 0
    192.89     82.75     -1000                 0                 0                 0
   237.179     82.75     -1000                 0                 0                 0
   285.897     82.75     -1000                 0                 0                 0
   339.487     82.75     -1000                 0                 0                 0
       400     82.75     -1000                 0                 0                 0
       420     82.75     -1000                 0                 0                 0
       440     82.75     -1000                 0                 0                 0
       460     82.75     -1000                 0                 0                 0
       480     82.75     -1000                 0                 0                 0
       500     82.75     -1000                 0                 0                 0
       525     82.75     -1000                 0                 0                 0
     562.5     82.75     -1000                 0                 0                 0
    618.75     82.75     -1000                 0                 0                 0
   703.125     82.75     -1000                 0                 0                 0
   829.688     82.75     -1000                 0                 0                 0
      1000     82.75     -1000                 0                 0                 0
     -1000   116.025     -1000                 0                 0                 0
    -812.5   116.025     -1000                 0                 0                 0
      -475   116.025     -1000                 0                 0                 0
      -250   116.025     -1000                 0                 0                 0
      -100   116.025     -1000                 0                 0                 0
         0   116.025     -1000                 0                 0                 0
        25   116.025     -1000                 0                 0                 0
      52.5   116.025     -1000                 0                 0                 0
     82.75   116.025     -1000                 0                 0                 0
   116.025   116.025     -1000                 0                 0                 0
   152.627   116.025     -1000                 0                 0                 0
    192.89   116.025     -1000                 0                 0                 0
   237.179   116.025     -1000                 0                 0                 0
   285.897   116.025     -1000                 0                 0                 0
   339.487   116.025     -1000                 0                 0                 0
       400   116.025     -1000                 0                 0                 0
       420   116.025     -1000                 0                 0                 0
       440   116.025     -1000                 0                 0                 0
       460   116.025     -1000                 0                 0                 0
       480   116.025     -1000                 0                 0                 0
       500   116.025     -1000                 0                 0                 0
       525   116.025     -1000                 0                 0                 0
     562.5   116.025     -1000                 0                 0                 0
    618.75   116.025     -1000                 0                 0                 0
   703.125   116.025     -1000                 0                 0                 0
   829.688   116.025     -1000                 0                 0                 0
      1000   116.025     -1000                 0                 0                 0
     -1000   152.627     -1000                 0                 0                 0
    -812.5   152.627     -1000                 0                 0                 0
      -475   152.627     -1000                 0                 0                 0
      -250   152.627     -1000                 0                 0                 0
      -100   152.627     -1000                 0                 0                 0
         0   152.627     -1000                 0                 0                 0
        25   152.627     -1000                 0                 0                 0
      52.5   152.627     -1000                 0                 0                 0
     82.75   152.627     -1000                 0                 0                 0
   116.025   152.627     -1000                 0                 0                 0
   152.627   152.627     -1000                 0                 0                 0
    192.89   152.627     -1000                 0                 0                 0
   237.179   152.627     -1000                 0                 0                 0
   285.897   152.627     -1000                 0                 0                 0
   339.487   152.627     -1000                 0                 0                 0
       400   152.627     -1000                 0                 0                 0
       420   152.627     -1000                 0                 0                 0
       440   152.627     -1000                 0                 0                 0
       460   152.627     -1000                 0                 0                 0
       480   152.627     -1000                 0                 0                 0
       500   152.627     -1000                 0                 0                 0
       525   152.627     -1000                 0                 0                 0
     562.5   152.627     -1000                 0                 0                 0
    618.75   152.627     -1000                 0                 0                 0
   703.125   152.627     -1000                 0                 0                 0
   829.688   152.627     -1000                 0                 0                 0
      1000   152.627     -1000                 0                 0                 0
     -1000    192.89     -1000                 0                 0                 0
    -812.5    192.89     -1000                 0                 0                 0
      -475    192.89     -1000                 0                 0                 0
      -250    192.89     -1000                 0                 0                 0
      -100    192.89     -1000                 0                 0                 0
         0    192.89     -1000                 0                 0                 0
        25    192.89     -1000                 0                 0                 0
      52.5    192.89     -1000                 0                 0                 0
     82.75    192.89     -1000                 0                 0                 0
   116.025    192.89     -1000                 0                 0                 0
   152.627    192.89     -1000                 0                 0                 0
    192.89    192.89     -1000                 0                 0                 0
   237.179    192.89     -1000                 0                 0                 0
   285.897    192.89     -1000                 0                 0                 0
   339.487    192.89     -1000                 0                 0                 0
       400    192.89     -1000                 0                 0                 0
       420    192.89     -1000                 0                 0                 0
       440    192.89     -1000                 0                 0                 0
       460    192.89     -1000                 0                 0                 0
       480    192.89     -1000                 0                 0                 0
       500    192.89     -1000                 0                 0                 0
       525    192.89     -1000                 0                 0                 0
     562.5    192.89     -1000                 0                 0                 0
    618.75    192.89     -1000                 0                 0                 0
   703.125    192.89     -1000                 0                 0                 0
   829.688    192.89     -1000                 0                 0                 0
      1000    192.89     -1000                 0                 0                 0
     -1000   237.179     -1000                 0                 0                 0
    -812.5   237.179     -1000                 0                 0                 0
      -475   237.179     -1000                 0                 0                 0
      -250   237.179     -1000                 0                 0                 0
      -100   237.179     -1000                 0                 0                 0
         0   237.179     -1000                 0                 0                 0
        25   237.179     -1000                 0                 0                 0
      52.5   237.179     -1000                 0                 0                 0
     82.75   237.179     -1000                 0                 0                 0
   116.025   237.179     -1000                 0                 0                 0
   152.627   237.179     -1000                 0                 0                 0
    192.89   237.179     -1000                 0                 0                 0
   237.179   237.179     -1000                 0                 0                 0
   285.897   237.179     -1000                 0                 0                 0
   339.487   237.179     -1000                 0                 0                 0
       400   237.179     -1000                 0                 0                 0
       420   237.179     -1000                 0                 0                 0
       440   237.179     -1000                 0                 0                 0
       460   237.179     -1000                 0                 0                 0
       480   237.179     -1000                 0                 0                 0
       500   237.179     -1000                 0                 0                 0
       525   237.179     -1000                 0                 0                 0
     562.5   237.179     -1000                 0                 0                 0
    618.75   237.179     -1000                 0                 0                 0
   703.125   237.179     -1000                 0                 0                 0
   829.688   237.179     -1000                 0                 0                 0
      1000   237.179     -1000                 0                 0                 0
     -1000   285.897     -1000                 0                 0                 0
    -812.5   285.897     -1000                 0                 0                 0
      -475   285.897     -1000                 0                 0                 0
      -250   285.897     -1000                 0                 0                 0
      -100   285.897     -1000                 0                 0                 0
         0   285.897     -1000                 0                 0                 0
        25   285.897     -1000                 0                 0                 0
      52.5   285.897     -1000                 0                 0                 0
     82.75   285.897     -1000                 0                 0                 0
   116.025   285.897     -1000                 0                 0                 0
   152.627   285.897     -1000                 0                 0                 0
    192.89   285.897     -1000                 0                 0                 0
   237.179   285.897     -1000                 0                 0                 0
   285.897   285.897     -1000                 0                 0                 0
   339.487   285.897     -1000                 0                 0                 0
       400   285.897     -1000                 0                 0                 0
       420   285.897     -1000                 0                 0                 0
       440   285.897     -1000                 0                 0                 0
       460   285.897     -1000                 0                 0                 0
       480   285.897     -1000                 0                 0                 0
       500   285.897     -1000                 0                 0                 0
       525   285.897     -1000                 0                 0                 0
     562.5   285.897     -1000                 0                 0                 0
    618.75   285.897     -1000                 0                 0                 0
   703.125   285.897     -1000                 0                 0                 0
   829.688   285.897     -1000                 0                 0                 0
      1000   285.897     -1000                 0                 0                 0
     -1000   339.487     -1000                 0                 0                 0
    -812.5   339.487     -1000                 0                 0                 0
      -475   339.487     -1000                 0                 0                 0
      -250   339.487     -1000                 0                 0                 0
      -100   339.487     -1000                 0                 0                 0
         0   339.487     -1000                 0                 0                 0
        25   339.487     -1000                 0                 0                 0
      52.5   339.487     -1000                 0                 0                 0
     82.75   339.487     -1000                 0                 0                 0
   116.025   339.487     -1000                 0                 0                 0
   152.627   339.487     -1000                 0                 0                 0
    192.89   339.487     -1000                 0                 0                 0
   237.179   339.487     -1000                 0                 0                 0
   285.897   339.487     -1000                 0                 0                 0
   339.487   339.487     -1000                 0                 0                 0
       400   339.487     -1000                 0                 0                 0
       420   339.487     -1000                 0                 0                 0
       440   339.487     -1000                 0                 0                 0
       460   339.487     -1000                 0                 0                 0
       480   339.487     -1000                 0                 0                 0
       500   339.487     -1000                 0                 0                 0
       525   339.487     -1000                 0                 0                 0
     562.5   339.487     -1000                 0                 0                 0
    618.75   339.487     -1000                 0                 0                 0
   703.125   339.487     -1000                 0                 0                 0
   829.688   339.487     -1000                 0                 0                 0
      1000   339.487     -1000                 0                 0                 0
     -1000       400     -1000                 0                 0                 0
    -812.5       400     -1000                 0                 0                 0
      -475       400     -1000                 0                 0                 0
