14364 14364
-110 400 -1000
0 400 -1000
100 400 -1000
200 400 -1000
310 400 -1000
431 400 -1000
450 400 -1000
564.1 400 -1000
710.51 400 -1000
871.561 400 -1000
1048.72 400 -1000
1243.59 400 -1000
1457.95 400 -1000
1693.74 400 -1000
1953.12 400 -1000
2238.43 400 -1000
2552.27 400 -1000
2897.5 400 -1000
3277.25 400 -1000
3694.97 400 -1000
4000 400 -1000
-1000 464.1 -1000
-848.717 464.1 -1000
-671.561 464.1 -1000
-510.51 464.1 -1000
-450 464.1 -1000
-364.1 464.1 -1000
-231 464.1 -1000
-110 464.1 -1000
0 464.1 -1000
100 464.1 -1000
200 464.1 -1000
310 464.1 -1000
431 464.1 -1000
450 464.1 -1000
564.1 464.1 -1000
710.51 464.1 -1000
871.561 464.1 -1000
1048.72 464.1 -1000
1243.59 464.1 -1000
1457.95 464.1 -1000
1693.74 464.1 -1000
1953.12 464.1 -1000
2238.43 464.1 -1000
2552.27 464.1 -1000
2897.5 464.1 -1000
3277.25 464.1 -1000
3694.97 464.1 -1000
4000 464.1 -1000
-1000 610.51 -1000
-848.717 610.51 -1000
-671.561 610.51 -1000
-510.51 610.51 -1000
-450 610.51 -1000
-364.1 610.51 -1000
-231 610.51 -1000
-110 610.51 -1000
0 610.51 -1000
100 610.51 -1000
200 610.51 -1000
310 610.51 -1000
431 610.51 -1000
450 610.51 -1000
564.1 610.51 -1000
710.51 610.51 -1000
871.561 610.51 -1000
1048.72 610.51 -1000
1243.59 610.51 -1000
1457.95 610.51 -1000
1693.74 610.51 -1000
1953.12 610.51 -1000
2238.43 610.51 -1000
2552.27 610.51 -1000
2897.5 610.51 -1000
3277.25 610.51 -1000
3694.97 610.51 -1000
4000 610.51 -1000
-1000 771.561 -1000
-848.717 771.561 -1000
-671.561 771.561 -1000
-510.51 771.561 -1000
-450 771.561 -1000
-364.1 771.561 -1000
-231 771.561 -1000
-110 771.561 -1000
0 771.561 -1000
100 771.561 -1000
200 771.561 -1000
310 771.561 -1000
431 771.561 -1000
450 771.561 -1000
564.1 771.561 -1000
710.51 771.561 -1000
871.561 771.561 -1000
1048.72 771.561 -1000
1243.59 771.561 -1000
1457.95 771.561 -1000
1693.74 771.561 -1000
1953.12 771.561 -1000
2238.43 771.561 -1000
2552.27 771.561 -1000
2897.5 771.561 -1000
3277.25 771.561 -1000
3694.97 771.561 -1000
4000 771.561 -1000
-1000 948.717 -1000
-848.717 948.717 -1000
-671.561 948.717 -1000
-510.51 948.717 -1000
-450 948.717 -1000
-364.1 948.717 -1000
-231 948.717 -1000
-110 948.717 -1000
0 948.717 -1000
100 948.717 -1000
200 948.717 -1000
310 948.717 -1000
431 948.717 -1000
450 948.717 -1000
564.1 948.717 -1000
710.51 948.717 -1000
871.561 948.717 -1000
1048.72 948.717 -1000
1243.59 948.717 -1000
1457.95 948.717 -1000
1693.74 948.717 -1000
1953.12 948.717 -1000
2238.43 948.717 -1000
2552.27 948.717 -1000
2897.5 948.717 -1000
3277.25 948.717 -1000
3694.97 948.717 -1000
4000 948.717 -1000
-1000 1143.59 -1000
-848.717 1143.59 -1000
-671.561 1143.59 -1000
-510.51 1143.59 -1000
-450 1143.59 -1000
-364.1 1143.59 -1000
-231 1143.59 -1000
-110 1143.59 -1000
0 1143.59 -1000
100 1143.59 -1000
200 1143.59 -1000
310 1143.59 -1000
431 1143.59 -1000
450 1143.59 -1000
564.1 1143.59 -1000
710.51 1143.59 -1000
871.561 1143.59 -1000
1048.72 1143.59 -1000
1243.59 1143.59 -1000
1457.95 1143.59 -1000
1693.74 1143.59 -1000
1953.12 1143.59 -1000
2238.43 1143.59 -1000
2552.27 1143.59 -1000
2897.5 1143.59 -1000
3277.25 1143.59 -1000
3694.97 1143.59 -1000
4000 1143.59 -1000
-1000 1357.95 -1000
