SourceType=1, point({ r = 0; z = 0},i=1716, power=1
Added power 0.159155
         r         z   correctSolution                 q              diff
   86.0894    -65.95                 0         0.0011923         0.0011923
   96.1983    -65.95                 0       0.000309691       0.000309691
       100    -65.95                 0                 0                 0
         0  -59.0454                 0         0.0123407         0.0123407
       0.1  -59.0454                 0         0.0123407         0.0123407
      0.21  -59.0454                 0         0.0123405         0.0123405
     0.331  -59.0454                 0         0.0123403         0.0123403
    0.4641  -59.0454                 0         0.0123399         0.0123399
   0.61051  -59.0454                 0         0.0123393         0.0123393
  0.771561  -59.0454                 0         0.0123385         0.0123385
  0.948717  -59.0454                 0         0.0123374         0.0123374
   1.14359  -59.0454                 0         0.0123359         0.0123359
   1.35795  -59.0454                 0          0.012334          0.012334
   1.59374  -59.0454                 0         0.0123315         0.0123315
   1.85312  -59.0454                 0         0.0123282         0.0123282
   2.13843  -59.0454                 0         0.0123241         0.0123241
   2.45227  -59.0454                 0         0.0123189         0.0123189
    2.7975  -59.0454                 0         0.0123123         0.0123123
   3.17725  -59.0454                 0         0.0123041         0.0123041
   3.59497  -59.0454                 0         0.0122939         0.0122939
   4.05447  -59.0454                 0         0.0122812         0.0122812
   4.55992  -59.0454                 0         0.0122655         0.0122655
         5  -59.0454                 0         0.0122504         0.0122504
         7  -59.0454                 0         0.0121639         0.0121639
       9.2  -59.0454                 0         0.0120376         0.0120376
     11.62  -59.0454                 0         0.0118625         0.0118625
    14.282  -59.0454                 0          0.011629          0.011629
   17.2102  -59.0454                 0         0.0113271         0.0113271
   20.4312  -59.0454                 0         0.0109468         0.0109468
   23.9743  -59.0454                 0         0.0104794         0.0104794
   27.8718  -59.0454                 0        0.00991803        0.00991803
    32.159  -59.0454                 0         0.0092592         0.0092592
   36.8748  -59.0454                 0        0.00850354        0.00850354
   42.0623  -59.0454                 0        0.00765663        0.00765663
   47.7686  -59.0454                 0        0.00672898        0.00672898
   54.0454  -59.0454                 0        0.00573535        0.00573535
     60.95  -59.0454                 0        0.00469336        0.00469336
    68.545  -59.0454                 0        0.00362139        0.00362139
   76.8995  -59.0454                 0        0.00253639        0.00253639
   86.0894  -59.0454                 0        0.00145182        0.00145182
   96.1983  -59.0454                 0       0.000376464       0.000376464
       100  -59.0454                 0                 0                 0
         0  -52.7686                 0         0.0155609         0.0155609
       0.1  -52.7686                 0         0.0155608         0.0155608
      0.21  -52.7686                 0         0.0155607         0.0155607
     0.331  -52.7686                 0         0.0155603         0.0155603
    0.4641  -52.7686                 0         0.0155598         0.0155598
   0.61051  -52.7686                 0         0.0155589         0.0155589
  0.771561  -52.7686                 0         0.0155578         0.0155578
  0.948717  -52.7686                 0         0.0155562         0.0155562
   1.14359  -52.7686                 0         0.0155541         0.0155541
   1.35795  -52.7686                 0         0.0155513         0.0155513
   1.59374  -52.7686                 0         0.0155477         0.0155477
   1.85312  -52.7686                 0          0.015543          0.015543
   2.13843  -52.7686                 0         0.0155371         0.0155371
   2.45227  -52.7686                 0         0.0155296         0.0155296
    2.7975  -52.7686                 0         0.0155202         0.0155202
   3.17725  -52.7686                 0         0.0155085         0.0155085
   3.59497  -52.7686                 0         0.0154938         0.0154938
   4.05447  -52.7686                 0         0.0154757         0.0154757
   4.55992  -52.7686                 0         0.0154533         0.0154533
         5  -52.7686                 0         0.0154316         0.0154316
         7  -52.7686                 0         0.0153083         0.0153083
       9.2  -52.7686                 0         0.0151285         0.0151285
     11.62  -52.7686                 0         0.0148804         0.0148804
    14.282  -52.7686                 0         0.0145513         0.0145513
   17.2102  -52.7686                 0         0.0141287         0.0141287
   20.4312  -52.7686                 0         0.0136012         0.0136012
   23.9743  -52.7686                 0         0.0129597         0.0129597
   27.8718  -52.7686                 0          0.012199          0.012199
    32.159  -52.7686                 0         0.0113191         0.0113191
   36.8748  -52.7686                 0          0.010326          0.010326
   42.0623  -52.7686                 0        0.00923229        0.00923229
   47.7686  -52.7686                 0        0.00805579        0.00805579
   54.0454  -52.7686                 0        0.00681835        0.00681835
     60.95  -52.7686                 0        0.00554323        0.00554323
    68.545  -52.7686                 0        0.00425248        0.00425248
   76.8995  -52.7686                 0         0.0029643         0.0029643
   86.0894  -52.7686                 0        0.00169096        0.00169096
   96.1983  -52.7686                 0       0.000437711       0.000437711
       100  -52.7686                 0                 0                 0
         0  -47.0623                 0         0.0192096         0.0192096
       0.1  -47.0623                 0         0.0192095         0.0192095
      0.21  -47.0623                 0         0.0192092         0.0192092
     0.331  -47.0623                 0         0.0192087         0.0192087
    0.4641  -47.0623                 0         0.0192079         0.0192079
   0.61051  -47.0623                 0         0.0192068         0.0192068
  0.771561  -47.0623                 0         0.0192051         0.0192051
  0.948717  -47.0623                 0         0.0192029         0.0192029
   1.14359  -47.0623                 0         0.0191998         0.0191998
   1.35795  -47.0623                 0         0.0191958         0.0191958
   1.59374  -47.0623                 0         0.0191907         0.0191907
   1.85312  -47.0623                 0         0.0191841         0.0191841
   2.13843  -47.0623                 0         0.0191756         0.0191756
   2.45227  -47.0623                 0          0.019165          0.019165
    2.7975  -47.0623                 0         0.0191516         0.0191516
   3.17725  -47.0623                 0         0.0191349         0.0191349
   3.59497  -47.0623                 0          0.019114          0.019114
   4.05447  -47.0623                 0         0.0190882         0.0190882
   4.55992  -47.0623                 0         0.0190563         0.0190563
         5  -47.0623                 0         0.0190256         0.0190256
         7  -47.0623                 0         0.0188505         0.0188505
       9.2  -47.0623                 0         0.0185964         0.0185964
     11.62  -47.0623                 0         0.0182475         0.0182475
    14.282  -47.0623                 0          0.017788          0.017788
   17.2102  -47.0623                 0         0.0172032         0.0172032
   20.4312  -47.0623                 0         0.0164811         0.0164811
   23.9743  -47.0623                 0         0.0156146         0.0156146
   27.8718  -47.0623                 0         0.0146027         0.0146027
    32.159  -47.0623                 0         0.0134523         0.0134523
   36.8748  -47.0623                 0         0.0121783         0.0121783
   42.0623  -47.0623                 0         0.0108027         0.0108027
   47.7686  -47.0623                 0        0.00935242        0.00935242
   54.0454  -47.0623                 0        0.00785679        0.00785679
     60.95  -47.0623                 0        0.00634396        0.00634396
    68.545  -47.0623                 0          0.004838          0.004838
   76.8995  -47.0623                 0        0.00335634        0.00335634
   86.0894  -47.0623                 0        0.00190809        0.00190809
   96.1983  -47.0623                 0       0.000493066       0.000493066
       100  -47.0623                 0                 0                 0
         0  -41.8748                 0         0.0233771         0.0233771
       0.1  -41.8748                 0         0.0233769         0.0233769
      0.21  -41.8748                 0         0.0233766         0.0233766
     0.331  -41.8748                 0         0.0233759         0.0233759
    0.4641  -41.8748                 0         0.0233747         0.0233747
   0.61051  -41.8748                 0         0.0233731         0.0233731
  0.771561  -41.8748                 0         0.0233707         0.0233707
  0.948717  -41.8748                 0         0.0233675         0.0233675
   1.14359  -41.8748                 0         0.0233631         0.0233631
   1.35795  -41.8748                 0         0.0233575         0.0233575
   1.59374  -41.8748                 0         0.0233501         0.0233501
   1.85312  -41.8748                 0         0.0233407         0.0233407
   2.13843  -41.8748                 0         0.0233286         0.0233286
   2.45227  -41.8748                 0         0.0233134         0.0233134
    2.7975  -41.8748                 0         0.0232944         0.0232944
   3.17725  -41.8748                 0         0.0232705         0.0232705
   3.59497  -41.8748                 0         0.0232408         0.0232408
   4.05447  -41.8748                 0         0.0232041         0.0232041
   4.55992  -41.8748                 0         0.0231587         0.0231587
         5  -41.8748                 0          0.023115          0.023115
         7  -41.8748                 0         0.0228667         0.0228667
       9.2  -41.8748                 0          0.022508          0.022508
     11.62  -41.8748                 0         0.0220188         0.0220188
    14.282  -41.8748                 0         0.0213801         0.0213801
   17.2102  -41.8748                 0         0.0205762         0.0205762
