TITLE = "Slice Z = -450"
VARIABLES = "X", "Y", "V", "Ex", "Ey", "Ez", "abs(E)"
ZONE I= 150, J= 1, F=POINT
v1;v2;u0;u_correct
2.93959731543624173e+02;0.00000000000000000e+00;6.19174028700767920e+01;6.19174028700767920e+01
2.97986577181208077e+02;0.00000000000000000e+00;6.17608467657652227e+01;6.17608467657652227e+01
3.02013422818791980e+02;0.00000000000000000e+00;6.16042906614536463e+01;6.16042906614536463e+01
3.06040268456375884e+02;0.00000000000000000e+00;6.14477345571420699e+01;6.14477345571420699e+01
3.10067114093959788e+02;0.00000000000000000e+00;6.12911784528305077e+01;6.12911784528305077e+01
3.14093959731543634e+02;0.00000000000000000e+00;6.11346223485189455e+01;6.11346223485189455e+01
3.18120805369127538e+02;0.00000000000000000e+00;6.09780662442073620e+01;6.09780662442073620e+01
3.22147651006711442e+02;0.00000000000000000e+00;6.08215101398957927e+01;6.08215101398957927e+01
3.26174496644295346e+02;0.00000000000000000e+00;6.06649540355842163e+01;6.06649540355842163e+01
3.30201342281879249e+02;0.00000000000000000e+00;6.05083979312726399e+01;6.05083979312726399e+01
3.34228187919463096e+02;0.00000000000000000e+00;6.03518418269610777e+01;6.03518418269610777e+01
3.38255033557047000e+02;0.00000000000000000e+00;6.01952857226495013e+01;6.01952857226495013e+01
3.42281879194630903e+02;0.00000000000000000e+00;6.00165849962711491e+01;6.00165849962711491e+01
3.46308724832214807e+02;0.00000000000000000e+00;5.98281239315310032e+01;5.98281239315310032e+01
3.50335570469798711e+02;0.00000000000000000e+00;5.96396628667908431e+01;5.96396628667908431e+01
3.54362416107382614e+02;0.00000000000000000e+00;5.94512018020506900e+01;5.94512018020506900e+01
3.58389261744966461e+02;0.00000000000000000e+00;5.92627407373105441e+01;5.92627407373105441e+01
3.62416107382550365e+02;0.00000000000000000e+00;5.90742796725703911e+01;5.90742796725703911e+01
3.66442953020134269e+02;0.00000000000000000e+00;5.88858186078302381e+01;5.88858186078302381e+01
3.70469798657718172e+02;0.00000000000000000e+00;5.86973575430900780e+01;5.86973575430900780e+01
3.74496644295302076e+02;0.00000000000000000e+00;5.85088964783499392e+01;5.85088964783499392e+01
3.78523489932885923e+02;0.00000000000000000e+00;5.83204354136097862e+01;5.83204354136097862e+01
3.82550335570469827e+02;0.00000000000000000e+00;5.81319743488696332e+01;5.81319743488696332e+01
3.86577181208053730e+02;0.00000000000000000e+00;5.79435132841294802e+01;5.79435132841294802e+01
3.90604026845637634e+02;0.00000000000000000e+00;5.77550522193893272e+01;5.77550522193893272e+01
3.94630872483221538e+02;0.00000000000000000e+00;5.75665911546491742e+01;5.75665911546491742e+01
3.98657718120805384e+02;0.00000000000000000e+00;5.73781300899090212e+01;5.73781300899090212e+01
4.02684563758389288e+02;0.00000000000000000e+00;5.71740784710942052e+01;5.71740784710942052e+01
4.06711409395973192e+02;0.00000000000000000e+00;5.69622315752420718e+01;5.69622315752420718e+01
4.10738255033557095e+02;0.00000000000000000e+00;5.67503846793899314e+01;5.67503846793899314e+01
4.14765100671140999e+02;0.00000000000000000e+00;5.65385377835377909e+01;5.65385377835377909e+01
4.18791946308724846e+02;0.00000000000000000e+00;5.63266908876856505e+01;5.63266908876856505e+01
4.22818791946308750e+02;0.00000000000000000e+00;5.61064785741526890e+01;5.61064785741526890e+01
4.26845637583892653e+02;0.00000000000000000e+00;5.58826810816136756e+01;5.58826810816136756e+01
4.30872483221476557e+02;0.00000000000000000e+00;5.56588835890746481e+01;5.56588835890746481e+01
4.34899328859060461e+02;0.00000000000000000e+00;5.54350860965356347e+01;5.54350860965356347e+01
4.38926174496644364e+02;0.00000000000000000e+00;5.52112886039966142e+01;5.52112886039966142e+01
4.42953020134228211e+02;0.00000000000000000e+00;5.49785824313726295e+01;5.49785824313726295e+01
4.46979865771812115e+02;0.00000000000000000e+00;5.47426367387177422e+01;5.47426367387177422e+01
4.51006711409396019e+02;0.00000000000000000e+00;5.45066910460628549e+01;5.45066910460628549e+01
4.55033557046979922e+02;0.00000000000000000e+00;5.42707453534079676e+01;5.42707453534079676e+01
4.59060402684563826e+02;0.00000000000000000e+00;5.40347996607530803e+01;5.40347996607530803e+01
4.63087248322147673e+02;0.00000000000000000e+00;5.37893923508821956e+01;5.37893923508821956e+01
4.67114093959731576e+02;0.00000000000000000e+00;5.35411054183803472e+01;5.35411054183803472e+01
4.71140939597315480e+02;0.00000000000000000e+00;5.32928184858784988e+01;5.32928184858784988e+01
4.75167785234899384e+02;0.00000000000000000e+00;5.30445315533766575e+01;5.30445315533766575e+01
4.79194630872483287e+02;0.00000000000000000e+00;5.27962446208748091e+01;5.27962446208748091e+01
4.83221476510067191e+02;0.00000000000000000e+00;5.25379363253706870e+01;5.25379363253706870e+01
4.87248322147651038e+02;0.00000000000000000e+00;5.22771226891159912e+01;5.22771226891159912e+01
4.91275167785234942e+02;0.00000000000000000e+00;5.20163090528613026e+01;5.20163090528613026e+01
