         x         y         z          analitic          solution          pogreshn
     55.06  -29.8336       -50                 0                 0                 0
    77.284  -29.8336       -50                 0                 0                 0
       100  -29.8336       -50                 0                 0                 0
      -100  -22.4105       -50                 0                 0                 0
   -77.284  -22.4105       -50                 0                 0                 0
    -55.06  -22.4105       -50                 0                 0                 0
  -39.1857  -22.4105       -50                 0                 0                 0
   -27.847  -22.4105       -50                 0                 0                 0
  -19.7478  -22.4105       -50                 0                 0                 0
  -13.9627  -22.4105       -50                 0                 0                 0
  -9.83052  -22.4105       -50                 0                 0                 0
  -6.87895  -22.4105       -50                 0                 0                 0
  -4.77068  -22.4105       -50                 0                 0                 0
  -3.26477  -22.4105       -50                 0                 0                 0
  -2.18912  -22.4105       -50                 0                 0                 0
   -1.4208  -22.4105       -50                 0                 0                 0
    -0.872  -22.4105       -50                 0                 0                 0
     -0.48  -22.4105       -50                 0                 0                 0
      -0.2  -22.4105       -50                 0                 0                 0
         0  -22.4105       -50                 0                 0                 0
       0.2  -22.4105       -50                 0                 0                 0
      0.48  -22.4105       -50                 0                 0                 0
     0.872  -22.4105       -50                 0                 0                 0
    1.4208  -22.4105       -50                 0                 0                 0
   2.18912  -22.4105       -50                 0                 0                 0
   3.26477  -22.4105       -50                 0                 0                 0
   4.77068  -22.4105       -50                 0                 0                 0
   6.87895  -22.4105       -50                 0                 0                 0
   9.83052  -22.4105       -50                 0                 0                 0
   13.9627  -22.4105       -50                 0                 0                 0
   19.7478  -22.4105       -50                 0                 0                 0
    27.847  -22.4105       -50                 0                 0                 0
   39.1857  -22.4105       -50                 0                 0                 0
     55.06  -22.4105       -50                 0                 0                 0
    77.284  -22.4105       -50                 0                 0                 0
       100  -22.4105       -50                 0                 0                 0
      -100  -16.7004       -50                 0                 0                 0
   -77.284  -16.7004       -50                 0                 0                 0
    -55.06  -16.7004       -50                 0                 0                 0
  -39.1857  -16.7004       -50                 0                 0                 0
   -27.847  -16.7004       -50                 0                 0                 0
  -19.7478  -16.7004       -50                 0                 0                 0
  -13.9627  -16.7004       -50                 0                 0                 0
  -9.83052  -16.7004       -50                 0                 0                 0
  -6.87895  -16.7004       -50                 0                 0                 0
  -4.77068  -16.7004       -50                 0                 0                 0
  -3.26477  -16.7004       -50                 0                 0                 0
  -2.18912  -16.7004       -50                 0                 0                 0
   -1.4208  -16.7004       -50                 0                 0                 0
    -0.872  -16.7004       -50                 0                 0                 0
     -0.48  -16.7004       -50                 0                 0                 0
      -0.2  -16.7004       -50                 0                 0                 0
         0  -16.7004       -50                 0                 0                 0
       0.2  -16.7004       -50                 0                 0                 0
      0.48  -16.7004       -50                 0                 0                 0
     0.872  -16.7004       -50                 0                 0                 0
    1.4208  -16.7004       -50                 0                 0                 0
   2.18912  -16.7004       -50                 0                 0                 0
   3.26477  -16.7004       -50                 0                 0                 0
   4.77068  -16.7004       -50                 0                 0                 0
   6.87895  -16.7004       -50                 0                 0                 0
   9.83052  -16.7004       -50                 0                 0                 0
   13.9627  -16.7004       -50                 0                 0                 0
   19.7478  -16.7004       -50                 0                 0                 0
    27.847  -16.7004       -50                 0                 0                 0
   39.1857  -16.7004       -50                 0                 0                 0
     55.06  -16.7004       -50                 0                 0                 0
    77.284  -16.7004       -50                 0                 0                 0
       100  -16.7004       -50                 0                 0                 0
