         x         y         z          analitic          solution          pogreshn
       -10      -9.5        -5                 0                 0                 0
         0      -9.5        -5                 0          -10.6499          -10.6499
        10      -9.5        -5                 0                 0                 0
       -10        -5        -5                 0                 0                 0
         0        -5        -5                 0          -17.4724          -17.4724
        10        -5        -5                 0                 0                 0
         0        -2        -5                 0          -7.08122          -7.08122
       -10         0        -5                 0                 0                 0
  -7.20351         0        -5                 0          -18.3312          -18.3312
  -4.84966         0        -5                 0          -9.65273          -9.65273
  -2.07989         0        -5                 0          -7.07182          -7.07182
         0         0        -5                 0          -4.75858          -4.75858
   2.07989         0        -5                 0          -2.47013          -2.47013
   4.84966         0        -5                 0          0.247925          0.247925
   7.20351         0        -5                 0           5.94536           5.94536
        10         0        -5                 0                 0                 0
         0         2        -5                 0          -2.30863          -2.30863
       -10         5        -5                 0                 0                 0
         0         5        -5                 0           1.74581           1.74581
        10         5        -5                 0                 0                 0
       -10       9.5        -5                 0                 0                 0
         0       9.5        -5                 0           3.62822           3.62822
        10       9.5        -5                 0                 0                 0
       -10        10        -5                 0                 0                 0
  -8.74421        10        -5                 0                 0                 0
  -7.20351        10        -5                 0                 0                 0
  -5.91959        10        -5                 0                 0                 0
  -4.84966        10        -5                 0                 0                 0
  -3.95805        10        -5                 0                 0                 0
  -3.21504        10        -5                 0                 0                 0
  -2.59587        10        -5                 0                 0                 0
  -2.07989        10        -5                 0                 0                 0
  -1.29159        10        -5                 0                 0                 0
   -0.5368        10        -5                 0                 0                 0
         0        10        -5                 0                 0                 0
    0.5368        10        -5                 0                 0                 0
   1.29159        10        -5                 0                 0                 0
   2.07989        10        -5                 0                 0                 0
   2.59587        10        -5                 0                 0                 0
   3.21504        10        -5                 0                 0                 0
   3.95805        10        -5                 0                 0                 0
   4.84966        10        -5                 0                 0                 0
   5.91959        10        -5                 0                 0                 0
   7.20351        10        -5                 0                 0                 0
   8.74421        10        -5                 0                 0                 0
        10        10        -5                 0                 0                 0
       -10       -10        -2                 0                 0                 0
  -8.74421       -10        -2                 0                 0                 0
  -7.20351       -10        -2                 0                 0                 0
  -5.91959       -10        -2                 0                 0                 0
  -4.84966       -10        -2                 0                 0                 0
  -3.95805       -10        -2                 0                 0                 0
  -3.21504       -10        -2                 0                 0                 0
  -2.59587       -10        -2                 0                 0                 0
  -2.07989       -10        -2                 0                 0                 0
  -1.29159       -10        -2                 0                 0                 0
   -0.5368       -10        -2                 0                 0                 0
         0       -10        -2                 0                 0                 0
    0.5368       -10        -2                 0                 0                 0
   1.29159       -10        -2                 0                 0                 0
   2.07989       -10        -2                 0                 0                 0
   2.59587       -10        -2                 0                 0                 0
   3.21504       -10        -2                 0                 0                 0
   3.95805       -10        -2                 0                 0                 0
   4.84966       -10        -2                 0                 0                 0
   5.91959       -10        -2                 0                 0                 0
   7.20351       -10        -2                 0                 0                 0
   8.74421       -10        -2                 0                 0                 0
        10       -10        -2                 0                 0                 0
         0      -9.5        -2                 0          -4.66061          -4.66061
         0        -5        -2                 0          -7.08479          -7.08479
         0        -2        -2                 0          -2.86238          -2.86238
       -10         0        -2                 0                 0                 0
  -7.20351         0        -2                 0          -8.78189          -8.78189
  -4.84966         0        -2                 0          -5.72752          -5.72752
  -2.07989         0        -2                 0          -2.99085          -2.99085
         0         0        -2                 0         -0.936169         -0.936169
   2.07989         0        -2                 0           1.09627           1.09627
   4.84966         0        -2                 0           3.91825           3.91825
   7.20351         0        -2                 0            6.0325            6.0325
        10         0        -2                 0                 0                 0
         0         2        -2                 0          0.795113          0.795113
         0         5        -2                 0           4.45031           4.45031
         0       9.5        -2                 0           3.51143           3.51143
       -10        10        -2                 0                 0                 0
  -8.74421        10        -2                 0                 0                 0
  -7.20351        10        -2                 0                 0                 0
  -5.91959        10        -2                 0                 0                 0
  -4.84966        10        -2                 0                 0                 0
  -3.95805        10        -2                 0                 0                 0
  -3.21504        10        -2                 0                 0                 0
  -2.59587        10        -2                 0                 0                 0
  -2.07989        10        -2                 0                 0                 0
  -1.29159        10        -2                 0                 0                 0
   -0.5368        10        -2                 0                 0                 0
         0        10        -2                 0                 0                 0
    0.5368        10        -2                 0                 0                 0
   1.29159        10        -2                 0                 0                 0
   2.07989        10        -2                 0                 0                 0
   2.59587        10        -2                 0                 0                 0
   3.21504        10        -2                 0                 0                 0
   3.95805        10        -2                 0                 0                 0
   4.84966        10        -2                 0                 0                 0
   5.91959        10        -2                 0                 0                 0
   7.20351        10        -2                 0                 0                 0
   8.74421        10        -2                 0                 0                 0
        10        10        -2                 0                 0                 0
       -10       -10         0                 0                 0                 0
  -8.74421       -10         0                 0                 0                 0
  -7.20351       -10         0                 0                 0                 0
  -5.91959       -10         0                 0                 0                 0
  -4.84966       -10         0                 0                 0                 0
  -3.95805       -10         0                 0                 0                 0
  -3.21504       -10         0                 0                 0                 0
  -2.59587       -10         0                 0                 0                 0
  -2.07989       -10         0                 0                 0                 0
  -1.29159       -10         0                 0                 0                 0
   -0.5368       -10         0                 0                 0                 0
         0       -10         0                 0                 0                 0
    0.5368       -10         0                 0                 0                 0
   1.29159       -10         0                 0                 0                 0
   2.07989       -10         0                 0                 0                 0
   2.59587       -10         0                 0                 0                 0
   3.21504       -10         0                 0                 0                 0
   3.95805       -10         0                 0                 0                 0
   4.84966       -10         0                 0                 0                 0
   5.91959       -10         0                 0                 0                 0
   7.20351       -10         0                 0                 0                 0
   8.74421       -10         0                 0                 0                 0
        10       -10         0                 0                 0                 0
       -10      -9.5         0                 0                 0                 0
  -7.20351      -9.5         0                 0           -11.939           -11.939
  -4.84966      -9.5         0                 0          -5.74983          -5.74983
  -2.07989      -9.5         0                 0          -5.09596          -5.09596
         0      -9.5         0                 0          -4.00448          -4.00448
   2.07989      -9.5         0                 0          -2.95154          -2.95154
   4.84966      -9.5         0                 0          -1.64594          -1.64594
   7.20351      -9.5         0                 0          0.397368          0.397368
        10      -9.5         0                 0                 0                 0
       -10        -5         0                 0                 0                 0
  -7.20351        -5         0                 0          -18.4154          -18.4154
  -4.84966        -5         0                 0           -9.6424           -9.6424
  -2.07989        -5         0                 0          -7.07712          -7.07712
         0        -5         0                 0           -4.7501           -4.7501
   2.07989        -5         0                 0          -2.46611          -2.46611
   4.84966        -5         0                 0          0.222467          0.222467
   7.20351        -5         0                 0           6.06444           6.06444
        10        -5         0                 0                 0                 0
       -10        -2         0                 0                 0                 0
  -7.20351        -2         0                 0          -7.57667          -7.57667
  -4.84966        -2         0                 0          -5.86532          -5.86532
  -2.07989        -2         0                 0           -2.9682           -2.9682
         0        -2         0                 0          -0.95938          -0.95938
   2.07989        -2         0                 0           1.09564           1.09564
   4.84966        -2         0                 0           3.93014           3.93014
